age,education_level,gender,race,number_of_children,number_of_household_members,in_poverty_SPM,in_poverty_OPM,material_hardship,health_problem,in_poverty_SPM_y1,in_poverty_OPM_y1,material_hardship_y1,health_problem_y1,in_poverty_SPM_y2,in_poverty_OPM_y2,material_hardship_y2,health_problem_y2,SPM_household_resources,OPM_household_resources,SPM_household_resources_y1,OPM_household_resources_y1,SPM_household_resources_y2,OPM_household_resources_y2,SPM_income_to_needs,SPM_income_to_needs_y1,SPM_income_to_needs_y2,OPM_income_to_needs,OPM_income_to_needs_y1,OPM_income_to_needs_y2,faca,fach,facp
31,2. HS graduate or GED,0. Male,4. Other / MultiRacial,2,4,0. No,0,1. Yes,0. No,,,,,,,,,50166,60000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,1735,868,3472
57,1. Less than HS,1. Female,5. Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,27560,35000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,8671,8671,8671
33,4. Bachelor's degree or more,0. Male,5. Hispanic,0,1,0. No,0,1. Yes,0. No,0,0,1. Yes,1,0,0,1. Yes,0,36494,49000,77066,81553,81322,73758,3. 200%-300%,4,3,4. 300%+,4. 300%+,4. 300%+,4486,4486,4486
18,1. Less than HS,1. Female,1. White Non-Hispanic,0,3,0. No,0,1. Yes,1. Yes,1,1,1. Yes,0,1,1,1. Yes,1,39195,37040,19293,19908,0,1810,2. 100%-200%,1,1,3. 200%-300%,1. Less than 100%,1. Less than 100%,37212,12404,37212
47,3. Some college or associat's degree,1. Female,5. Hispanic,0,3,0. No,0,1. Yes,1. Yes,1,0,0. No,1,1,0,0. No,1,58776,70547,30565,38070,22350,28000,3. 200%-300%,1,1,4. 300%+,3. 200%-300%,2. 100%-200%,9529,3176,9528
49,2. HS graduate or GED,0. Male,5. Hispanic,1,3,1. Yes,1,1. Yes,1. Yes,1,1,1. Yes,0,,,,,18964,14667,12367,17395,,,1. Less than 100%,1,4,1. Less than 100%,1. Less than 100%,4. 300%+,1486,743,2229
32,4. Bachelor's degree or more,0. Male,4. Other / MultiRacial,6,8,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,1,57194,90000,85742,100000,216646,240000,2. 100%-200%,2,4,3. 200%-300%,3. 200%-300%,4. 300%+,3096,1548,12384
65,4. Bachelor's degree or more,0. Male,5. Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,1,0,0,0. No,0,32100,32400,33645,35600,46192,47847,3. 200%-300%,3,3,3. 200%-300%,3. 200%-300%,4. 300%+,4958,4958,4958
51,1. Less than HS,0. Male,5. Hispanic,0,3,0. No,0,0. No,1. Yes,1,1,1. Yes,0,0,1,1. Yes,0,85861,87416,11888,17802,24021,10800,3. 200%-300%,1,2,4. 300%+,1. Less than 100%,1. Less than 100%,16497,5499,16497
47.18160329,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,,0,0,0,0. No,0,56321,99003,118578,165500,145482,227675,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,14481,14481,14481
65,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,3,10,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,188300,307000,124043,141074,27225,43970,3. 200%-300%,2,3,4. 300%+,3. 200%-300%,4. 300%+,4052,579,5790
25.64310993,4. Bachelor's degree or more,1. Female,3. Asian Non-Hispanic,0,1,0. No,0,1. Yes,1. Yes,,,,,,,,,58450,93066,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,7935,7935,7935
61,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,2,1. Yes,1,1. Yes,0. No,0,1,0. No,0,1,1,0. No,0,17912,2352,36791,14772,17893,15069,1. Less than 100%,2,1,1. Less than 100%,1. Less than 100%,1. Less than 100%,4470,2235,4470
19,2. HS graduate or GED,0. Male,5. Hispanic,0,3,0. No,0,1. Yes,0. No,,,,,,,,,91057,75146,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,6959,2320,6960
54,3. Some college or associat's degree,0. Male,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,36158,50000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,14837,14837,14837
23,3. Some college or associat's degree,0. Male,5. Hispanic,0,6,1. Yes,0,0. No,0. No,,,,,,,,,40103,45517,,,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,1160,193,1158
27,1. Less than HS,0. Male,5. Hispanic,1,3,0. No,0,0. No,0. No,,,,,,,,,157036,148524,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,17000,8500,25500
81,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,1. Yes,,,,,,,,,42500,44000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,11469,5734,11468
65,1. Less than HS,1. Female,5. Hispanic,0,2,0. No,0,0. No,0. No,1,0,0. No,1,,,,,30547,17988,20509,42650,,,2. 100%-200%,1,4,2. 100%-200%,4. 300%+,4. 300%+,14728,7364,14728
47,1. Less than HS,1. Female,5. Hispanic,0,2,0. No,0,1. Yes,1. Yes,1,1,1. Yes,1,0,0,1. Yes,1,57628,60764,10027,12000,51489,71589,3. 200%-300%,1,3,4. 300%+,1. Less than 100%,4. 300%+,7554,3777,7554
28,4. Bachelor's degree or more,1. Female,3. Asian Non-Hispanic,0,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,68068,75000,83627,91000,54220,50000,3. 200%-300%,3,4,4. 300%+,4. 300%+,4. 300%+,14287,4762,14286
31.35852593,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,70469,106803,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,9824,4912,9824
54,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,1. Yes,,,,,,,,,23022,25400,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,4062,2031,4062
52,1. Less than HS,1. Female,2. Black Non-Hispanic,1,3,0. No,0,0. No,1. Yes,0,0,1. Yes,1,0,1,0. No,1,37831,23473,162124,146775,20349,8796,2. 100%-200%,4,2,2. 100%-200%,4. 300%+,1. Less than 100%,5368,2684,8052
33,2. HS graduate or GED,1. Female,1. White Non-Hispanic,6,10,0. No,0,1. Yes,0. No,0,0,0. No,0,,,,,142455,138571,124792,112209,,,3. 200%-300%,3,4,3. 200%-300%,3. 200%-300%,4. 300%+,10961,2740,27400
24,3. Some college or associat's degree,0. Male,5. Hispanic,0,3,0. No,0,1. Yes,0. No,,,,,,,,,43108,44000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,9759,3253,9759
31,4. Bachelor's degree or more,1. Female,5. Hispanic,0,5,0. No,0,0. No,0. No,,,,,,,,,47408,69666,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,14987,2997,14985
29,4. Bachelor's degree or more,0. Male,5. Hispanic,3,4,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,107014,116000,60771,96000,120477,201558,4. 300%+,3,4,4. 300%+,4. 300%+,4. 300%+,1243,1243,4972
30,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,0,3,0. No,0,1. Yes,0. No,,,,,,,,,80120,95961,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,16183,5394,16182
62,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,0,2,1. Yes,0,0. No,0. No,,,,,,,,,15668,40000,,,,,1. Less than 100%,4,4,3. 200%-300%,4. 300%+,4. 300%+,955,478,956
28,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,2,4,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,310607,390000,112793,173000,123129,188812,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,8816,4408,17632
53,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,4,0. No,0,0. No,0. No,0,0,1. Yes,0,0,0,1. Yes,0,187453,377002,40139,39130,33163,28684,4. 300%+,2,3,4. 300%+,4. 300%+,3. 200%-300%,12492,3123,12492
72,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,1,0,0. No,0,1,1,1. Yes,0,21200,25200,16600,21600,4920,7920,2. 100%-200%,1,1,2. 100%-200%,2. 100%-200%,1. Less than 100%,0,0,0
84,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,1,0,0. No,0,1,0,0. No,0,16470,12004,9792,13200,11000,12000,2. 100%-200%,1,1,2. 100%-200%,2. 100%-200%,2. 100%-200%,4475,4475,4475
52,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,2,1. Yes,1,1. Yes,1. Yes,,,,,,,,,4472,4850,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,4024,2012,4024
31,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,1,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,1. Yes,0,115929,131648,149822,166250,47099,42000,4. 300%+,4,2,4. 300%+,4. 300%+,2. 100%-200%,18077,9038,27114
26,3. Some college or associat's degree,1. Female,5. Hispanic,1,3,0. No,0,0. No,0. No,,,,,,,,,43193,42000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,2354,1177,3531
20,3. Some college or associat's degree,1. Female,5. Hispanic,0,3,1. Yes,0,0. No,0. No,1,0,0. No,0,0,0,0. No,0,19252,19283,25228,26633,36875,40258,1. Less than 100%,1,2,2. 100%-200%,2. 100%-200%,3. 200%-300%,23701,7900,23700
39,2. HS graduate or GED,1. Female,5. Hispanic,0,3,1. Yes,1,1. Yes,0. No,0,0,1. Yes,1,0,0,0. No,1,9245,9400,104916,104800,84480,106446,1. Less than 100%,4,3,1. Less than 100%,4. 300%+,4. 300%+,13592,4531,13593
86,4. Bachelor's degree or more,0. Male,4. Other / MultiRacial,1,6,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,171315,226435,153279,188000,85125,107649,4. 300%+,4,2,4. 300%+,4. 300%+,4. 300%+,1408,282,1692
51,1. Less than HS,0. Male,5. Hispanic,1,5,1. Yes,1,1. Yes,1. Yes,1,1,1. Yes,1,,,,,36906,15000,33736,15660,,,1. Less than 100%,1,4,1. Less than 100%,1. Less than 100%,4. 300%+,13160,3290,16450
40,1. Less than HS,0. Male,5. Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,38811,45517,,,,,3. 200%-300%,4,4,3. 200%-300%,4. 300%+,4. 300%+,11774,5887,11774
54,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,1,3,0. No,0,1. Yes,0. No,1,1,1. Yes,0,0,0,1. Yes,0,90817,103000,14558,15000,75418,87742,4. 300%+,1,3,4. 300%+,1. Less than 100%,4. 300%+,903,452,1356
35,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,33523,42000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,4032,2016,4032
43,3. Some college or associat's degree,0. Male,5. Hispanic,3,5,0. No,0,0. No,0. No,,,,,,,,,73186,92000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,1609,804,4020
27,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,1. Yes,,,,,,,,,33875,27800,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,3465,1732,3464
75,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,1. Yes,0. No,,,,,,,,,171210,167061,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,5103,2552,5104
25,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,2,5,1. Yes,0,0. No,0. No,0,0,1. Yes,0,1,1,1. Yes,0,14619,34000,46159,79000,28324,5240,1. Less than 100%,2,1,2. 100%-200%,3. 200%-300%,1. Less than 100%,28546,9515,47575
40,4. Bachelor's degree or more,0. Male,4. Other / MultiRacial,0,1,0. No,0,1. Yes,0. No,,,,,,,,,30158,50000,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,1269,1269,1269
72,1. Less than HS,1. Female,5. Hispanic,0,1,1. Yes,1,0. No,1. Yes,,,,,,,,,10098,7776,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,0,0,0
61,3. Some college or associat's degree,0. Male,5. Hispanic,0,2,0. No,0,0. No,0. No,1,0,0. No,0,0,0,0. No,0,64825,70000,15000,18000,72000,78000,4. 300%+,1,4,4. 300%+,2. 100%-200%,4. 300%+,17650,8825,17650
62,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,1,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,150983,180897,104381,139137,189194,273935,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,16401,8200,24600
68,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,1. Yes,0,0,0. No,1,0,0,1. Yes,1,53600,66802,84817,87290,45565,54835,3. 200%-300%,4,3,4. 300%+,4. 300%+,4. 300%+,3820,1910,3820
35,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,1,3,0. No,0,1. Yes,1. Yes,0,0,1. Yes,0,0,0,1. Yes,1,43953,38000,56294,73120,53943,73519,2. 100%-200%,3,2,3. 200%-300%,4. 300%+,4. 300%+,688,344,1032
50,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,0,0,0. No,0,45165,55000,,,43085,60000,4. 300%+,4,3,4. 300%+,4. 300%+,4. 300%+,3563,3563,3563
30,2. HS graduate or GED,1. Female,5. Hispanic,2,3,0. No,1,0. No,0. No,,,,,,,,,26864,17600,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+,3904,3904,11712
27,3. Some college or associat's degree,0. Male,5. Hispanic,0,3,0. No,0,0. No,1. Yes,1,1,1. Yes,0,1,1,1. Yes,0,113699,111299,0,0,0,1485,4. 300%+,1,1,4. 300%+,1. Less than 100%,1. Less than 100%,12369,4123,12369
59,1. Less than HS,0. Male,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,119016,180000,121734,170070,90460,134471,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,6385,3192,6384
41,4. Bachelor's degree or more,1. Female,5. Hispanic,2,7,1. Yes,0,1. Yes,1. Yes,0,0,1. Yes,1,0,0,0. No,1,46114,43032,51330,44428,65426,67723,1. Less than 100%,2,2,2. 100%-200%,2. 100%-200%,3. 200%-300%,10483,2097,14679
40,2. HS graduate or GED,1. Female,5. Hispanic,0,3,0. No,0,1. Yes,0. No,,,,,,,,,73708,80373,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,13215,4405,13215
72,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,22390,15000,60006,48000,80852,67901,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,3813,3813,3813
75,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,1,7,1. Yes,1,0. No,0. No,1,0,1. Yes,1,0,0,1. Yes,0,25994,25766,49839,50000,99579,100240,1. Less than 100%,1,2,1. Less than 100%,2. 100%-200%,3. 200%-300%,5571,928,6496
48,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,44832,70000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,1477,1477,1477
38.76478598,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,1,1. Yes,1,1. Yes,0. No,,,,,,,,,0,0,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,1617,1617,1617
22,2. HS graduate or GED,1. Female,2. Black Non-Hispanic,0,2,0. No,0,1. Yes,0. No,1,0,1. Yes,0,0,0,1. Yes,0,51969,62400,9746,20510,56474,83853,3. 200%-300%,1,4,4. 300%+,2. 100%-200%,4. 300%+,9223,4612,9224
27,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,1,0. No,0,1. Yes,0. No,0,0,0. No,0,0,0,0. No,0,34410,50000,56870,79000,118273,175531,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,16307,16307,16307
25,4. Bachelor's degree or more,1. Female,5. Hispanic,1,5,0. No,0,1. Yes,0. No,1,0,1. Yes,0,1,0,0. No,0,80659,82705,41107,42400,32776,33000,2. 100%-200%,1,1,3. 200%-300%,3. 200%-300%,2. 100%-200%,22221,5555,27775
59,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,1,1. Yes,0,1. Yes,1. Yes,,,,,,,,,3095,12948,,,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,1996,1996,1996
28,2. HS graduate or GED,1. Female,1. White Non-Hispanic,1,3,1. Yes,1,1. Yes,0. No,1,0,1. Yes,0,0,0,,0,13642,9321,24451,43200,74376,110079,1. Less than 100%,1,3,1. Less than 100%,3. 200%-300%,4. 300%+,3004,1502,4506
57,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,52995,72149,,,,,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,2140,1070,2140
60,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,1. Yes,0,1. Yes,0. No,0,1,1. Yes,1,1,1,1. Yes,1,12318,19064,22499,8819,10251,10492,1. Less than 100%,2,1,2. 100%-200%,1. Less than 100%,1. Less than 100%,2256,1128,2256
91,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,1,1. Yes,1,0. No,1. Yes,,,,,,,,,9120,717,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,6831,6831,6831
62,3. Some college or associat's degree,1. Female,5. Hispanic,0,1,0. No,0,1. Yes,1. Yes,,,,,,,,,35394,23760,,,,,3. 200%-300%,4,4,2. 100%-200%,4. 300%+,4. 300%+,1535,1535,1535
31,2. HS graduate or GED,1. Female,5. Hispanic,1,3,1. Yes,1,1. Yes,1. Yes,,,,,,,,,13462,11306,,,,,1. Less than 100%,4,4,1. Less than 100%,4. 300%+,4. 300%+,11535,5768,17304
24,2. HS graduate or GED,1. Female,5. Hispanic,0,2,0. No,0,1. Yes,0. No,,,,,,,,,21066,31063,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,1752,876,1752
65,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,0. No,0. No,0,0,0. No,1,0,0,0. No,1,95555,100000,82570,150070,216187,216687,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,5103,2552,5104
60,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,0,2,0. No,0,1. Yes,0. No,0,0,0. No,0,0,0,1. Yes,0,110412,147920,160252,242979,68266,111993,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,0,0,0
67,2. HS graduate or GED,1. Female,5. Hispanic,0,1,0. No,0,1. Yes,1. Yes,,,,,,,,,73341,65060,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,5248,5248,5248
24,2. HS graduate or GED,0. Male,2. Black Non-Hispanic,0,2,0. No,0,0. No,1. Yes,0,0,0. No,0,0,0,1. Yes,0,133684,137805,93279,109431,66810,164361,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3123,1562,3124
51,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,1,3,0. No,0,0. No,0. No,0,0,0. No,1,,,,,275022,386705,397571,600000,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,9411,4706,14118
64,2. HS graduate or GED,1. Female,5. Hispanic,0,2,0. No,1,0. No,1. Yes,,,,,,,,,20952,14400,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+,7141,3570,7140
19,3. Some college or associat's degree,1. Female,5. Hispanic,3,7,1. Yes,1,1. Yes,1. Yes,1,1,1. Yes,0,,,,,23715,10680,18126,11690,,,1. Less than 100%,1,4,1. Less than 100%,1. Less than 100%,4. 300%+,13256,3314,23198
52,3. Some college or associat's degree,1. Female,5. Hispanic,0,2,0. No,0,0. No,0. No,,,,,,,,,69818,83000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,13370,6685,13370
45,3. Some college or associat's degree,1. Female,5. Hispanic,1,4,0. No,0,0. No,0. No,,,,,,,,,423891,536926,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3501,1167,4668
87,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,3,1. Yes,0,0. No,0. No,1,0,0. No,0,1,1,0. No,0,11919,19200,18720,19200,5367,6000,1. Less than 100%,1,1,2. 100%-200%,2. 100%-200%,1. Less than 100%,10367,3456,10368
45,2. HS graduate or GED,1. Female,5. Hispanic,2,3,0. No,0,1. Yes,0. No,0,1,1. Yes,0,1,1,0. No,0,48574,24460,38693,16000,29630,16000,2. 100%-200%,2,1,2. 100%-200%,1. Less than 100%,1. Less than 100%,1937,1937,5811
24,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,3,6,0. No,0,0. No,0. No,0,0,1. Yes,0,1,1,1. Yes,0,322576,400000,75340,88500,3585,3600,4. 300%+,2,1,4. 300%+,3. 200%-300%,1. Less than 100%,9261,3087,18522
66,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,2,0. No,0,0. No,1. Yes,1,0,0. No,0,0,0,0. No,0,423891,525000,9484,20000,73433,125000,4. 300%+,1,4,4. 300%+,2. 100%-200%,4. 300%+,29967,14984,29968
25,4. Bachelor's degree or more,1. Female,5. Hispanic,1,3,0. No,0,0. No,0. No,1,1,1. Yes,0,0,0,0. No,0,50994,61000,5454,600,28072,36530,2. 100%-200%,1,2,4. 300%+,1. Less than 100%,2. 100%-200%,1225,612,1836
43,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,218475,360000,162693,265000,166646,275000,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,2503,2503,2503
58,3. Some college or associat's degree,0. Male,2. Black Non-Hispanic,0,1,1. Yes,1,1. Yes,0. No,0,1,1. Yes,1,0,1,1. Yes,1,11570,9120,24207,9120,28538,8796,1. Less than 100%,2,2,1. Less than 100%,1. Less than 100%,1. Less than 100%,3009,3009,3009
47,3. Some college or associat's degree,1. Female,5. Hispanic,0,1,0. No,0,0. No,0. No,0,0,0. No,1,0,0,0. No,0,34856,47153,56421,55000,39066,57000,3. 200%-300%,4,3,4. 300%+,4. 300%+,4. 300%+,4592,4592,4592
18,1. Less than HS,1. Female,2. Black Non-Hispanic,1,2,0. No,0,0. No,0. No,,,,,0,0,1. Yes,0,44394,30540,,,31533,33159,3. 200%-300%,4,2,2. 100%-200%,4. 300%+,3. 200%-300%,7433,7433,14866
26,3. Some college or associat's degree,1. Female,4. Other / MultiRacial,2,4,0. No,0,0. No,0. No,0,0,1. Yes,0,0,0,0. No,0,52463,70000,80508,75000,96727,100000,2. 100%-200%,3,4,4. 300%+,3. 200%-300%,4. 300%+,6965,3482,13928
75,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,0,1,0. No,0,0. No,1. Yes,1,1,1. Yes,0,0,0,0. No,1,22637,16000,13726,3600,27849,18000,2. 100%-200%,1,2,2. 100%-200%,1. Less than 100%,2. 100%-200%,6984,6984,6984
26,2. HS graduate or GED,1. Female,1. White Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,26598,38950,,,,,2. 100%-200%,4,4,4. 300%+,4. 300%+,4. 300%+,5877,5877,5877
29,3. Some college or associat's degree,0. Male,3. Asian Non-Hispanic,0,1,0. No,0,0. No,0. No,,,,,,,,,31656,30493,,,,,3. 200%-300%,4,4,3. 200%-300%,4. 300%+,4. 300%+,37212,37212,37212
35,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,2,4,0. No,0,0. No,0. No,,,,,,,,,273634,452956,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3790,1895,7580
36,3. Some college or associat's degree,1. Female,2. Black Non-Hispanic,3,4,0. No,0,0. No,0. No,,,,,,,,,49422,66000,,,,,2. 100%-200%,4,4,3. 200%-300%,4. 300%+,4. 300%+,968,968,3872
18,2. HS graduate or GED,1. Female,5. Hispanic,0,2,0. No,0,1. Yes,0. No,1,0,0. No,0,,,,,86168,88119,15098,15678,,,4. 300%+,1,4,4. 300%+,2. 100%-200%,4. 300%+,4511,2256,4512
24,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,3,5,1. Yes,0,0. No,0. No,,,,,,,,,0,138968,,,,,1. Less than 100%,4,4,4. 300%+,4. 300%+,4. 300%+,7361,3680,18400
33,3. Some college or associat's degree,1. Female,5. Hispanic,2,3,0. No,0,1. Yes,1. Yes,0,0,1. Yes,0,,,,,54952,70000,64001,92000,,,3. 200%-300%,3,4,4. 300%+,4. 300%+,4. 300%+,1670,1670,5010
25,3. Some college or associat's degree,1. Female,5. Hispanic,4,6,0. No,0,1. Yes,1. Yes,0,1,1. Yes,0,0,0,0. No,1,46553,41299,47958,23324,26585,27138,2. 100%-200%,2,2,2. 100%-200%,1. Less than 100%,3. 200%-300%,1573,786,4716
57,4. Bachelor's degree or more,0. Male,1. White Non-Hispanic,1,5,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,126487,233034,193810,254810,388599,488666,3. 200%-300%,4,4,4. 300%+,4. 300%+,4. 300%+,13190,3298,16490
42,2. HS graduate or GED,0. Male,5. Hispanic,0,2,1. Yes,0,1. Yes,0. No,,,,,,,,,20380,23521,,,,,1. Less than 100%,4,4,2. 100%-200%,4. 300%+,4. 300%+,21722,10861,21722
64,1. Less than HS,0. Male,1. White Non-Hispanic,0,1,0. No,1,0. No,1. Yes,,,,,,,,,18654,9120,,,,,2. 100%-200%,4,4,1. Less than 100%,4. 300%+,4. 300%+,9849,9849,9849
70,1. Less than HS,1. Female,5. Hispanic,0,1,0. No,0,0. No,1. Yes,,,,,,,,,29254,18765,,,,,3. 200%-300%,4,4,2. 100%-200%,4. 300%+,4. 300%+,9340,9340,9340
50,4. Bachelor's degree or more,1. Female,2. Black Non-Hispanic,0,2,0. No,0,0. No,0. No,,,,,0,0,0. No,0,152909,225000,,,204375,230621,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,3114,1557,3114
25,4. Bachelor's degree or more,0. Male,3. Asian Non-Hispanic,0,3,0. No,0,0. No,0. No,0,0,0. No,0,0,0,0. No,0,75299,77595,71966,101526,87258,103855,3. 200%-300%,3,3,4. 300%+,4. 300%+,4. 300%+,13911,4637,13911
57,4. Bachelor's degree or more,1. Female,1. White Non-Hispanic,1,4,0. No,0,0. No,0. No,,,,,,,,,236217,280000,,,,,4. 300%+,4,4,4. 300%+,4. 300%+,4. 300%+,5860,1953,7812
81,3. Some college or associat's degree,1. Female,1. White Non-Hispanic,0,3,0. No,0,0. No,0. No,,,,,,,,,30300,33600,,,,,2. 100%-200%,4,4,2. 100%-200%,4. 300%+,4. 300%+,16479,5493,16479
